Host,Mount_message,record_dt,mount,space_gb,alerted
AWX-DEV.ME.COM,Space on /app 450G ,6/17/2023 16:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/17/2023 16:00,/var,13,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/17/2023 16:00,/app,45,0
AWX.ME.COM,Space on /var 11G ,6/17/2023 16:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/17/2023 16:00,/var,7.9,0
AWX.ME.COM,Space on /app 474G ,6/17/2023 16:00,/app,474,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/17/2023 12:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/17/2023 12:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/17/2023 12:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/17/2023 12:00,/var,13,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/17/2023 12:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/17/2023 12:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/17/2023 12:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/17/2023 12:00,/app,461,0
AWX.ME.COM,Space on /opt 20G ,6/17/2023 12:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/17/2023 12:00,/var,13,0
AWX-DEV.ME.COM,Space on /app 450G ,6/17/2023 12:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/17/2023 12:00,/app,45,0
AWX.ME.COM,Space on /var 11G ,6/17/2023 12:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/17/2023 12:00,/var,7.9,0
AWX.ME.COM,Space on /app 474G ,6/17/2023 12:00,/app,474,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/17/2023 8:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/17/2023 8:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/17/2023 8:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/17/2023 8:00,/var,13,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/17/2023 8:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/17/2023 8:00,/app,54,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/17/2023 8:00,/app,461,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/17/2023 8:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/17/2023 8:00,/var,13,0
AWX.ME.COM,Space on /opt 20G ,6/17/2023 8:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/17/2023 8:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/17/2023 8:00,/app,45,0
AWX.ME.COM,Space on /var 11G ,6/17/2023 8:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/17/2023 8:00,/var,7.9,0
AWX.ME.COM,Space on /app 474G ,6/17/2023 8:00,/app,474,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/17/2023 7:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/17/2023 7:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/17/2023 7:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/17/2023 7:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/17/2023 7:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/17/2023 7:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/17/2023 7:00,/app,461,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/17/2023 7:00,/opt,14,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/17/2023 7:00,/var,13,0
AWX-DEV.ME.COM,Space on /app 450G ,6/17/2023 7:00,/app,450,0
AWX.ME.COM,Space on /opt 20G ,6/17/2023 7:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/17/2023 7:00,/app,45,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/17/2023 7:00,/var,7.9,0
AWX.ME.COM,Space on /var 11G ,6/17/2023 7:00,/var,11,0
AWX.ME.COM,Space on /app 430G ,6/17/2023 7:00,/app,430,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/17/2023 4:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/17/2023 4:00,/opt,17,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/17/2023 4:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/17/2023 4:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/17/2023 4:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/17/2023 4:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/17/2023 4:00,/app,462,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/17/2023 4:00,/opt,14,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/17/2023 4:00,/var,13,0
AWX.ME.COM,Space on /opt 20G ,6/17/2023 4:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/17/2023 4:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/17/2023 4:00,/app,45,0
AWX.ME.COM,Space on /var 11G ,6/17/2023 4:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/17/2023 4:00,/var,7.9,0
AWX.ME.COM,Space on /app 474G ,6/17/2023 4:00,/app,474,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/17/2023 0:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/17/2023 0:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/17/2023 0:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/17/2023 0:00,/var,13,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/17/2023 0:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/17/2023 0:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/17/2023 0:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/17/2023 0:00,/app,462,0
AWX-DEV.ME.COM,Space on /app 450G ,6/17/2023 0:00,/app,450,0
AWX.ME.COM,Space on /opt 20G ,6/17/2023 0:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/17/2023 0:00,/var,13,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/17/2023 0:00,/app,45,0
AWX.ME.COM,Space on /var 11G ,6/17/2023 0:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/17/2023 0:00,/var,7.9,0
AWX.ME.COM,Space on /app 477G ,6/17/2023 0:00,/app,477,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/16/2023 20:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/16/2023 20:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/16/2023 20:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/16/2023 20:00,/var,13,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/16/2023 20:00,/app,462,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/16/2023 20:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/16/2023 20:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/16/2023 20:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/16/2023 20:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/16/2023 20:00,/var,13,0
AWX.ME.COM,Space on /opt 20G ,6/16/2023 20:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/16/2023 20:00,/app,45,0
AWX.ME.COM,Space on /var 11G ,6/16/2023 20:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/16/2023 20:00,/var,7.9,0
AWX.ME.COM,Space on /app 477G ,6/16/2023 20:00,/app,477,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/16/2023 16:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/16/2023 16:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/16/2023 16:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/16/2023 16:00,/var,13,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/16/2023 16:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/16/2023 16:00,/app,54,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/16/2023 16:00,/app,461,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/16/2023 16:00,/opt,20,0
AWX.ME.COM,Space on /opt 20G ,6/16/2023 16:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/16/2023 16:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/16/2023 16:00,/var,13,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/16/2023 16:00,/app,45,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/16/2023 16:00,/var,7.9,0
AWX.ME.COM,Space on /var 11G ,6/16/2023 16:00,/var,11,0
AWX.ME.COM,Space on /app 477G ,6/16/2023 16:00,/app,477,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/16/2023 12:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/16/2023 12:00,/opt,15,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/16/2023 12:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/16/2023 12:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/16/2023 12:00,/app,461,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/16/2023 12:00,/app,54,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/16/2023 12:00,/opt,14,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/16/2023 12:00,/opt,20,0
AWX.ME.COM,Space on /opt 20G ,6/16/2023 12:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/16/2023 12:00,/var,13,0
AWX-DEV.ME.COM,Space on /app 450G ,6/16/2023 12:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /app 45G ,6/16/2023 12:00,/app,45,0
AWX.ME.COM,Space on /var 11G ,6/16/2023 12:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/16/2023 12:00,/var,7.9,0
AWX.ME.COM,Space on /app 478G ,6/16/2023 12:00,/app,478,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/16/2023 8:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/16/2023 8:00,/opt,15,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/16/2023 8:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/16/2023 8:00,/var,9.1,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/16/2023 8:00,/opt,20,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/16/2023 8:00,/app,54,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/16/2023 8:00,/opt,14,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/16/2023 8:00,/app,462,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/16/2023 8:00,/var,13,0
AWX-DEV.ME.COM,Space on /app 450G ,6/16/2023 8:00,/app,450,0
AWX.ME.COM,Space on /opt 20G ,6/16/2023 8:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /app 47G ,6/16/2023 8:00,/app,47,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/16/2023 8:00,/var,7.9,0
AWX.ME.COM,Space on /var 11G ,6/16/2023 8:00,/var,11,0
AWX.ME.COM,Space on /app 484G ,6/16/2023 8:00,/app,484,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/16/2023 7:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/16/2023 7:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/16/2023 7:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/16/2023 7:00,/var,13,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/16/2023 7:00,/opt,20,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/16/2023 7:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/16/2023 7:00,/app,54,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/16/2023 7:00,/app,461,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/16/2023 7:00,/var,5,1
AWX-DEV.ME.COM,Space on /app 450G ,6/16/2023 7:00,/app,450,0
AWX.ME.COM,Space on /opt 20G ,6/16/2023 7:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /app 47G ,6/16/2023 7:00,/app,47,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/16/2023 7:00,/var,7.9,0
AWX.ME.COM,Space on /var 11G ,6/16/2023 7:00,/var,11,0
AWX.ME.COM,Space on /app 441G ,6/16/2023 7:00,/app,441,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/16/2023 4:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/16/2023 4:00,/opt,15,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/16/2023 4:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/16/2023 4:00,/var,9.1,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/16/2023 4:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/16/2023 4:00,/app,462,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/16/2023 4:00,/app,54,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/16/2023 4:00,/opt,14,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/16/2023 4:00,/var,5,0
AWX.ME.COM,Space on /opt 20G ,6/16/2023 4:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 451G ,6/16/2023 4:00,/app,451,0
AWX-DEV-V2.ME.COM,Space on /app 47G ,6/16/2023 4:00,/app,47,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/16/2023 4:00,/var,7.9,0
AWX.ME.COM,Space on /var 11G ,6/16/2023 4:00,/var,11,0
AWX.ME.COM,Space on /app 485G ,6/16/2023 4:00,/app,485,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/16/2023 0:00,/opt,17,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/16/2023 0:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/16/2023 0:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/16/2023 0:00,/app,54,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/16/2023 0:00,/var,13,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/16/2023 0:00,/app,461,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/16/2023 0:00,/opt,14,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/16/2023 0:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/16/2023 0:00,/app,450,0
AWX.ME.COM,Space on /opt 20G ,6/16/2023 0:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/16/2023 0:00,/var,5,0
AWX-DEV-V2.ME.COM,Space on /app 47G ,6/16/2023 0:00,/app,47,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/16/2023 0:00,/var,7.9,0
AWX.ME.COM,Space on /var 11G ,6/16/2023 0:00,/var,11,0
AWX.ME.COM,Space on /app 485G ,6/16/2023 0:00,/app,485,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/15/2023 20:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/15/2023 20:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/15/2023 20:00,/var,9.1,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/15/2023 20:00,/opt,14,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/15/2023 20:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/15/2023 20:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/15/2023 20:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 451G ,6/15/2023 20:00,/app,451,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/15/2023 20:00,/app,461,0
AWX.ME.COM,Space on /opt 20G ,6/15/2023 20:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/15/2023 20:00,/var,5,0
AWX-DEV-V2.ME.COM,Space on /app 47G ,6/15/2023 20:00,/app,47,0
AWX.ME.COM,Space on /var 11G ,6/15/2023 20:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/15/2023 20:00,/var,7.9,0
AWX.ME.COM,Space on /app 485G ,6/15/2023 20:00,/app,485,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/15/2023 16:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/15/2023 16:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/15/2023 16:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/15/2023 16:00,/var,9.1,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/15/2023 16:00,/opt,14,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/15/2023 16:00,/app,461,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/15/2023 16:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/15/2023 16:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 451G ,6/15/2023 16:00,/app,451,0
AWX.ME.COM,Space on /opt 20G ,6/15/2023 16:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/15/2023 16:00,/var,5,0
AWX-DEV-V2.ME.COM,Space on /app 47G ,6/15/2023 16:00,/app,47,0
AWX.ME.COM,Space on /var 11G ,6/15/2023 16:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/15/2023 16:00,/var,7.9,0
AWX.ME.COM,Space on /app 484G ,6/15/2023 16:00,/app,484,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/15/2023 12:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/15/2023 12:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/15/2023 12:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/15/2023 12:00,/var,13,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/15/2023 12:00,/app,462,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/15/2023 12:00,/app,54,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/15/2023 12:00,/opt,14,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/15/2023 12:00,/opt,20,0
AWX.ME.COM,Space on /opt 20G ,6/15/2023 12:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/15/2023 12:00,/var,5,0
AWX-DEV.ME.COM,Space on /app 451G ,6/15/2023 12:00,/app,451,0
AWX-DEV-V2.ME.COM,Space on /app 47G ,6/15/2023 12:00,/app,47,0
AWX.ME.COM,Space on /var 11G ,6/15/2023 12:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/15/2023 12:00,/var,7.9,0
AWX.ME.COM,Space on /app 485G ,6/15/2023 12:00,/app,485,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/15/2023 8:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/15/2023 8:00,/opt,15,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/15/2023 8:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/15/2023 8:00,/var,9.1,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/15/2023 8:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/15/2023 8:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/15/2023 8:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/15/2023 8:00,/app,462,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/15/2023 8:00,/var,5,0
AWX-DEV.ME.COM,Space on /app 451G ,6/15/2023 8:00,/app,451,0
AWX.ME.COM,Space on /opt 20G ,6/15/2023 8:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /app 49G ,6/15/2023 8:00,/app,49,0
AWX.ME.COM,Space on /var 11G ,6/15/2023 8:00,/var,11,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/15/2023 8:00,/var,7.9,0
AWX.ME.COM,Space on /app 487G ,6/15/2023 8:00,/app,487,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/15/2023 7:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/15/2023 7:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/15/2023 7:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/15/2023 7:00,/var,13,0
